DateMesure (H M S); Temperature; Pression; Humidite 
19:47:49;31,75;980,0700000000001;64,49 
19:48:49;32,03;980,12;62,55 
19:49:49;32,14;980,11;61,97 
19:50:49;32,18;980,17;61,48 
19:51:50;32,27;980,08;61,13 
19:52:50;32,32;980,14;60,0 
19:53:50;32,28;980,14;60,89 
19:54:50;32,25;980,21;60,93 
19:55:50;32,24;980,28;60,93 
19:56:50;32,14;980,39;61,19 
19:57:50;32,07;980,39;61,12 
19:58:50;32,03;980,44;61,02 
19:59:50;32,01;980,51;61,16 
20:00:51;31,92;980,5;61,41 
20:01:51;31,75;980,54;61,4 
20:02:51;31,65;980,57;61,62 
20:03:51;31,74;980,56;61,6 
20:04:51;31,7;980,66;61,46 
20:05:51;31,64;980,66;61,94 
20:06:51;31,5;980,64;61,64 
20:07:51;31,46;980,68;61,89 
20:08:51;31,36;980,73;61,79 
20:09:52;31,29;980,79;61,61 
20:10:52;31,29;980,79;61,9 
20:11:52;31,22;980,81;62,29 
20:12:52;31,19;980,86;62,32 
20:13:52;31,12;980,86;62,19 
20:14:52;30,96;980,85;62,1 
20:15:52;30,81;980,87;62,46 
20:16:52;30,71;980,87;62,67 
20:17:53;30,65;980,9;62,92 
20:18:53;30,5;980,93;63,12 
20:19:53;30,46;980,99;62,98 
20:20:53;30,39;981,03;63,01 
20:21:53;30,32;981,1;63,16 
20:22:53;30,15;981,16;63,38 
20:23:53;30,01;981,18;63,71 
20:24:53;29,96;981,24;64,07 
20:25:53;29,89;981,26;64,25 
20:26:54;29,83;981,33;64,51 
20:27:54;29,7;981,35;64,67 
20:28:54;29,71;981,44;64,67 
20:29:54;29,63;981,5;64,76 
20:30:54;29,49;981,55;65,13 
20:31:54;29,47;981,69;65,18 
20:32:54;29,33;981,73;65,34 
20:33:54;29,33;981,82;65,4 
20:34:55;29,21;981,76;65,68 
20:35:55;29,13;981,79;65,53 
20:36:55;29,02;981,75;65,74 
20:37:55;28,98;981,67;65,56 
20:38:55;28,91;981,7;65,43 
20:39:55;28,85;981,84;65,4 
20:40:55;28,69;981,83;65,87 
